410634.700000000010000,184660.200000000010000,WEIR,0.757990000000000,GB106039023310,Thames,TH West,Thames,Vale of White Horse,Lydiard and Shaw Brooks at Swindon
410632.700000000010000,184658.200000000010000,WEIR,0.824990000000000,GB106039023310,Thames,TH West,Thames,Vale of White Horse,Lydiard and Shaw Brooks at Swindon
411683.500000000000000,186382.799999999990000,DAM,0.085000000000000,GB106039023310,Thames,TH West,Thames,Vale of White Horse,Lydiard and Shaw Brooks at Swindon
410471.400000000020000,184385.500000000000000,WEIR,1.008000000000000,GB106039023310,Thames,TH West,Thames,Vale of White Horse,Lydiard and Shaw Brooks at Swindon
410492.799999999990000,184509.000000000000000,WEIR,0.688000000000000,GB106039023310,Thames,TH West,Thames,Vale of White Horse,Lydiard and Shaw Brooks at Swindon
418313.599999999980000,168520.500000000000000,WEIR,0.939000000000000,GB106039023171,Thames,TH West,Thames,Kennet and Pang,Upper Kennet to Marlborough
418287.299999999990000,168437.000000000000000,WEIR,1.682990000000000,GB106039023171,Thames,TH West,Thames,Kennet and Pang,Upper Kennet to Marlborough
418704.900000000020000,168622.299999999990000,WEIR,0.710000000000000,GB106039023171,Thames,TH West,Thames,Kennet and Pang,Upper Kennet to Marlborough
365645.099999999980000,137542.200000000010000,WEIR,0.144000000000000,GB108052021160,South West,SW North Wessex,South West,South & West Somerset,ALHAM
352537.799999999990000,169797.600000000010000,WEIR,0.152990000000000,GB109052021690,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,R Land Yeo - source to conf R Kenn
400000.000000000000000,200000.000000000000000,WEIR,2.089000000000000,GB109053022290,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,Cam Bk - source to conf Wellow Bk
400000.000000000000000,200000.000000000000000,WEIR,2.336000000000000,GB109053022290,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,Cam Bk - source to conf Wellow Bk
400000.000000000000000,200000.000000000000000,WEIR,2.399000000000000,GB109053022290,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,Cam Bk - source to conf Wellow Bk
400000.000000000000000,200000.000000000000000,WEIR,2.565000000000000,GB109053021950,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,R Chew - conf Winford Bk to conf R Avon (Brist)
400000.000000000000000,200000.000000000000000,WEIR,2.847000000000000,GB109053021950,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,R Chew - conf Winford Bk to conf R Avon (Brist)
369684.500000000000000,152488.100000000010000,WEIR,1.483990000000000,GB109053022230,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,Kilmersdon Str - source to conf Snails Bk
369647.400000000020000,152984.299999999990000,WEIR,0.269990000000000,GB109053022230,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,Kilmersdon Str - source to conf Snails Bk
366745.599999999980000,150743.500000000000000,WEIR,1.551000000000000,GB109053022240,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,Snails Bk - source to conf Kilmersdon Str
364928.000000000000000,152012.600000000010000,WEIR,1.178000000000000,GB109053022250,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,Wellow Bk - source to conf Snails Bk
368453.700000000010000,148527.100000000010000,WEIR,2.412000000000000,GB109053022020,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,Mells R - source to conf Whatley Bk
368385.099999999980000,148477.899999999990000,WEIR,1.566000000000000,GB109053022020,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,Mells R - source to conf Whatley Bk
366501.700000000010000,148652.899999999990000,WEIR,1.602000000000000,GB109053022020,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,Mells R - source to conf Whatley Bk
364692.400000000020000,170078.399999999990000,WEIR,1.527000000000000,GB109053027370,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,R Avon (Brist) - conf Semington Bk to Netham Dam
368351.599999999980000,169974.700000000010000,WEIR,2.152000000000000,GB109053027510,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,R Boyd - source to conf R Avon (Brist)
369352.700000000010000,182601.799999999990000,WEIR,2.034000000000000,GB109053027560,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,R Frome (Brist) - source to conf Laddon Bk
384091.299999999990000,176647.799999999990000,WEIR,1.482000000000000,GB109053027480,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,By Bk - conf Broadmead Bk to conf unnamed trib
391341.799999999990000,188489.600000000010000,WEIR,1.611000000000000,GB109053027780,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,Tetbury Avon - unnamed trib to conf Sherston Avon
393306.700000000010000,186259.000000000000000,WEIR,1.391000000000000,GB109053027650,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,R Avon (Brist) conf Tetbury Avon to conf R Marden
385534.299999999990000,157728.600000000010000,WEIR,2.985000000000000,GB109053021810,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,R Biss - conf unnamed trib to conf Lambok Bk
401635.799999999990000,169163.899999999990000,WEIR,0.653990000000000,GB109053022050,Severn,SW North Wessex,South West,Bristol Avon & North Somerset Streams,R Marden - source to conf Abberd Bk
386989.099999999980000,142630.200000000010000,WEIR,1.288000000000000,GB108043022520,South West,SW South Wessex,South West,Hampshire Avon,Wylye (Headwaters)
400898.299999999990000,138279.299999999990000,WEIR,1.011000000000000,GB108043022550,South West,SW South Wessex,South West,Hampshire Avon,Wylye (Middle)
